Fighter: Mairbek Taisumov           ELO: 1207.07
Fighter: Antônio Rogério Nogueira   ELO: 1206.1
Fighter: Ryan Ford                  ELO: 1204.76
Fighter: Darren Till                ELO: 1204.41
Fighter: Lyman Good                 ELO: 1204.31
Fighter: Genki Sudo                 ELO: 1204.01
Fighter: Nazareno Malegarie         ELO: 1203.9
Fighter: Mike Whitehead             ELO: 1203.79
Fighter: Jason High                 ELO: 1203.51
Fighter: Rickson Gracie             ELO: 1203.22
Fighter: Luis Santos                ELO: 1202.59
Fighter: John Salter                ELO: 1202.26
Fighter: Kiyoshi Tamura             ELO: 1202.22
Fighter: Semmy Schilt               ELO: 1202.04
Fighter: Cub Swanson                ELO: 1202.01
Fighter: TJ Grant                   ELO: 1201.06
Fighter: Omari Akhmedov             ELO: 1200.76
Fighter: Zhang Lipeng               ELO: 1199.89
Fighter: Marcin Held                ELO: 1199.82
Fighter: Murad Machaev              ELO: 1199.79
Fighter: Johny Hendricks            ELO: 1199.42
Fighter: Adlan Amagov               ELO: 1199.03
Fighter: Vladimir Matyushenko       ELO: 1198.6
Fighter: Tim Means                  ELO: 1198.43
Fighter: Al Iaquinta                ELO: 1198.38
Fighter: Krzysztof Jotko            ELO: 1198.27
Fighter: Vinc Pichel                ELO: 1198.07
Fighter: Rashad Evans               ELO: 1197.94
Fighter: Hiromasa Ougikubo          ELO: 1197.58
Fighter: Paul Felder                ELO: 1197.52
Fighter: Jay Hieron                 ELO: 1197.24
Fighter: Ali Bagautinov             ELO: 1196.55
Fighter: Alan Belcher               ELO: 1196.46
Fighter: Ryan LaFlare               ELO: 1196.32
Fighter: Blagoy Ivanov              ELO: 1196.25
Fighter: Cody Garbrandt             ELO: 1196.08
Fighter: Chas Skelly                ELO: 1195.12
Fighter: Dominick Reyes             ELO: 1195.09
Fighter: Gilbert Yvel               ELO: 1194.98
Fighter: Tarec Saffiedine           ELO: 1194.91
Fighter: Jussier Formiga            ELO: 1194.3
Fighter: Myles Jury                 ELO: 1193.97
Fighter: Bobby Lashley              ELO: 1193.74
Fighter: Wanderlei Silva            ELO: 1193.54
Fighter: Brian Ebersole             ELO: 1192.6
Fighter: Igor Vovchanchyn           ELO: 1192.31
Fighter: Yushin Okami               ELO: 1191.38
Fighter: Kuniyoshi Hironaka         ELO: 1191.06
Fighter: Dave Jansen                ELO: 1191.04
Fighter: Nik Lentz                  ELO: 1190.95
Fighter: Bobby Green                ELO: 1190.1
Fighter: Tomasz Narkun              ELO: 1189.93
Fighter: Ricardo Almeida            ELO: 1189.88
Fighter: Bryan Baker                ELO: 1189.75
Fighter: Jordan Mein                ELO: 1189.67
Fighter: Cole Konrad                ELO: 1189.57
Fighter: Alexander Sarnavskiy       ELO: 1189.32
Fighter: Matt Brown                 ELO: 1189.2
Fighter: Mark Muñoz                 ELO: 1189.03
Fighter: Costas Philippou           ELO: 1189.01
Fighter: Sanae Kikuta               ELO: 1188.83
Fighter: Timothy Johnson            ELO: 1188.7
Fighter: Liam McGeary               ELO: 1188.54
Fighter: Vyacheslav Vasilevsky      ELO: 1187.6
Fighter: Nikita Krylov              ELO: 1187.4
Fighter: Cung Le                    ELO: 1187.14
Fighter: Jarred Brooks              ELO: 1186.93
Fighter: Alex Perez                 ELO: 1186.85
Fighter: Matheus Nicolau            ELO: 1186.38
Fighter: Muhammed Lawal             ELO: 1185.71
Fighter: Jeremy Horn                ELO: 1185.15
Fighter: Mike Pierce                ELO: 1184.5
Fighter: Ruslan Magomedov           ELO: 1184.07
Fighter: Zak Cummings               ELO: 1183.98
Fighter: Andrei Arlovski            ELO: 1183.86
Fighter: Hayato Sakurai             ELO: 1183.68
Fighter: Norman Parke               ELO: 1183.2
Fighter: Tatsuya Kawajiri           ELO: 1182.83
Fighter: Sean O'Malley              ELO: 1182.13
Fighter: Kelvin Gastelum            ELO: 1181.99
Fighter: Soa Palelei                ELO: 1181.06
Fighter: Gerald Harris              ELO: 1181.03
Fighter: Chan Sung Jung             ELO: 1180.08
Fighter: Mikhail Zayats             ELO: 1179.86
Fighter: Viktor Nemkov              ELO: 1179.69
Fighter: Gunnar Nelson              ELO: 1179.1
Fighter: Tony Martin                ELO: 1178.61
Fighter: Trevor Prangley            ELO: 1178.45
Fighter: Dakota Cochrane            ELO: 1178.32
Fighter: Masakatsu Ueda             ELO: 1178.1
Fighter: Josh Thomson               ELO: 1177.26
Fighter: Rafael Silva               ELO: 1177.22
Fighter: Augusto Sakai              ELO: 1177.18
Fighter: Jake Matthews              ELO: 1176.91
Fighter: Siyar Bahadurzada          ELO: 1176.24
Fighter: Li Jingliang               ELO: 1175.91
Fighter: Travis Browne              ELO: 1175.91
Fighter: Ryan Jimmo                 ELO: 1175.81
Fighter: Renan Barão                ELO: 1175.14
Fighter: Travis Fulton              ELO: 1174.63
Fighter: Mark Bocek                 ELO: 1174.44
Fighter: Pedro Rizzo                ELO: 1173.93
Fighter: David Rickels              ELO: 1173.34
Fighter: Matt Lindland              ELO: 1173.15
Fighter: Wagnney Fabiano            ELO: 1173.08
Fighter: Evan Tanner                ELO: 1172.96
Fighter: Cathal Pendred             ELO: 1172.89
Fighter: Jorge Santiago             ELO: 1172.49
Fighter: Johnny Case                ELO: 1172.26
Fighter: Jacob Volkmann             ELO: 1172.12
Fighter: Paulo Filho                ELO: 1171.89
Fighter: Francis Carmont            ELO: 1171.59
Fighter: Hector Lombard             ELO: 1171.33
Fighter: Jim Wallhead               ELO: 1170.5
Fighter: Rosen Dimitrov             ELO: 1170.35
Fighter: Olivier Aubin-Mercier      ELO: 1170.34
Fighter: Deividas Taurosevicius     ELO: 1170.08
Fighter: Alejandro Pérez            ELO: 1170.06
Fighter: Roger Gracie               ELO: 1169.95
Fighter: Darrion Caldwell           ELO: 1168.94
Fighter: John Dodson                ELO: 1168.62
Fighter: Joe Riggs                  ELO: 1168.48
Fighter: Brent Weedman              ELO: 1168.09
Fighter: Joe Doerksen               ELO: 1168.06
Fighter: Georgi Karakhanyan         ELO: 1167.75
Fighter: Volkan Oezdemir            ELO: 1167.73
Fighter: Brian Foster               ELO: 1167.71
Fighter: Roberto Soldić             ELO: 1167.48
Fighter: Clay Guida                 ELO: 1167.42
Fighter: Claude Patrick             ELO: 1167.41
Fighter: John Moraga                ELO: 1166.88
Fighter: Mike Russow                ELO: 1166.85
Fighter: Tim Sylvia                 ELO: 1166.09
Fighter: Amar Suloev                ELO: 1165.86
Fighter: Brian Bowles               ELO: 1165.27
Fighter: Michail Tsarev             ELO: 1165.09
Fighter: Neiman Gracie              ELO: 1164.96
Fighter: Diego Sanchez              ELO: 1164.7
Fighter: Vitor Ribeiro              ELO: 1164.5
Fighter: Paul Craig                 ELO: 1164.36
Fighter: Jordan Radev               ELO: 1164.25
Fighter: John Makdessi              ELO: 1163.61
Fighter: Jorge Rivera               ELO: 1163.46
Fighter: Bruno Santos               ELO: 1162.42
Fighter: Tom Niinimäki              ELO: 1162.35
Fighter: Damon Jackson              ELO: 1161.62
Fighter: Kamen Georgiev             ELO: 1161.11
Fighter: Louis Taylor               ELO: 1160.63
Fighter: Naoki Inoue                ELO: 1160.39
Fighter: Ray Borg                   ELO: 1160.02
Fighter: Frank Mir                  ELO: 1159.62
Fighter: Brandon Halsey             ELO: 1159.05
Fighter: Thiago Alves               ELO: 1159.03
Fighter: Mike Brown                 ELO: 1158.9
Fighter: J.J. Ambrose               ELO: 1158.83
Fighter: Kazunori Yokota            ELO: 1158.6
Fighter: Mikhail Ilyukhin           ELO: 1158.53
Fighter: Jesse Taylor               ELO: 1158.35
Fighter: Justin Wilcox              ELO: 1158.13
Fighter: Jadamba Narantungalag      ELO: 1158.08
Fighter: Magomed Bibulatov          ELO: 1158.05
Fighter: Derek Anderson             ELO: 1157.74
Fighter: Dan Christison             ELO: 1157.51
Fighter: Brock Larson               ELO: 1157.37
Fighter: Sultan Aliev               ELO: 1157.26
Fighter: Tai Tuivasa                ELO: 1157.08
Fighter: Rasul Mirzaev              ELO: 1156.59
Fighter: Frank Trigg                ELO: 1156.51
Fighter: Rad Martinez               ELO: 1156.44
Fighter: Marlon Vera                ELO: 1156.16
Fighter: Dokonjonosuke Mishima      ELO: 1156.08
Fighter: Bryan Caraway              ELO: 1156.07
Fighter: Shane Burgos               ELO: 1155.99
Fighter: Chris Wade                 ELO: 1155.88
Fighter: Hacran Dias                ELO: 1155.65
Fighter: Alexandre Ferreira         ELO: 1155.55
Fighter: Paul Sass                  ELO: 1155.45
Fighter: Sean Pierson               ELO: 1155.35
Fighter: Jared Rosholt              ELO: 1155.25
Fighter: Andre Fili                 ELO: 1155.23
Fighter: Hiroyuki Takaya            ELO: 1155.14
Fighter: Aung La Nsang              ELO: 1154.79
Fighter: Antônio Carlos Júnior      ELO: 1154.67
Fighter: Frank Shamrock             ELO: 1154.15
Fighter: Joe Lauzon                 ELO: 1154.08
Fighter: Din Thomas                 ELO: 1152.98
Fighter: Tim Boetsch                ELO: 1152.96
Fighter: Robert McDaniel            ELO: 1152.8
Fighter: Matt Mitrione              ELO: 1152.44
Fighter: Tom Duquesnoy              ELO: 1152.1
Fighter: Renzo Gracie               ELO: 1151.89
Fighter: John Alessio               ELO: 1151.3
Fighter: Shane Carwin               ELO: 1150.79
Fighter: Sean O'Connell             ELO: 1150.67
Fighter: Thiago Silva               ELO: 1150.49
Fighter: Shintaro Ishiwatari        ELO: 1150.17
Fighter: Brett Johns                ELO: 1150.09
Fighter: Volk Han                   ELO: 1150.06
Fighter: Mirsad Bektić              ELO: 1149.68
Fighter: Rumen Dimitrov             ELO: 1149.5
Fighter: Jim Miller                 ELO: 1149.23
Fighter: Zubaira Tukhugov           ELO: 1149.2
Fighter: Ryota Matsune              ELO: 1148.76
Fighter: Evan Dunham                ELO: 1148.5
Fighter: Miguel Torres              ELO: 1148.22
Fighter: Adam McDonough             ELO: 1147.96
Fighter: Ovince St. Preux           ELO: 1147.59
Fighter: Arjan Bhullar              ELO: 1147.38
Fighter: Uchu Tatsumi               ELO: 1147.3
Fighter: Matt Schnell               ELO: 1147.25
Fighter: Brian Stann                ELO: 1147.22
