Fighter: Soa Palelei                ELO: 1181.1
Fighter: Gerald Harris              ELO: 1181.03
Fighter: Mikhail Zayats             ELO: 1180.66
Fighter: Chan Sung Jung             ELO: 1180.08
Fighter: Viktor Nemkov              ELO: 1179.99
Fighter: Travis Browne              ELO: 1179.87
Fighter: Gunnar Nelson              ELO: 1179.73
Fighter: Tony Martin                ELO: 1179.33
Fighter: Rafael Silva               ELO: 1178.97
Fighter: Trevor Prangley            ELO: 1178.93
Fighter: Dakota Cochrane            ELO: 1178.34
Fighter: Zhang Lipeng               ELO: 1177.97
Fighter: Augusto Sakai              ELO: 1177.27
Fighter: Jake Matthews              ELO: 1177.24
Fighter: Josh Thomson               ELO: 1177.21
Fighter: Siyar Bahadurzada          ELO: 1176.27
Fighter: Li Jingliang               ELO: 1175.97
Fighter: Renan Barão                ELO: 1175.14
Fighter: Travis Fulton              ELO: 1174.64
Fighter: Mark Bocek                 ELO: 1174.44
Fighter: Pedro Rizzo                ELO: 1173.85
Fighter: Bubba Jenkins              ELO: 1173.81
Fighter: David Rickels              ELO: 1173.34
Fighter: Matt Lindland              ELO: 1173.15
Fighter: Wagnney Fabiano            ELO: 1173.08
Fighter: Evan Tanner                ELO: 1172.96
Fighter: Cathal Pendred             ELO: 1172.89
Fighter: Johnny Case                ELO: 1172.81
Fighter: Jorge Santiago             ELO: 1172.48
Fighter: Paulo Filho                ELO: 1171.86
Fighter: Jacob Volkmann             ELO: 1171.75
Fighter: Brian Foster               ELO: 1171.72
Fighter: Francis Carmont            ELO: 1171.6
Fighter: Hector Lombard             ELO: 1171.42
Fighter: Jim Wallhead               ELO: 1170.5
Fighter: Rosen Dimitrov             ELO: 1170.35
Fighter: Alejandro Pérez            ELO: 1170.08
Fighter: Deividas Taurosevicius     ELO: 1170.08
Fighter: Roger Gracie               ELO: 1169.98
Fighter: John Dodson                ELO: 1169.7
Fighter: Volkan Oezdemir            ELO: 1168.6
Fighter: Joe Riggs                  ELO: 1168.54
Fighter: Brent Weedman              ELO: 1168.09
Fighter: Joe Doerksen               ELO: 1168.06
Fighter: Claude Patrick             ELO: 1167.43
Fighter: John Moraga                ELO: 1167.01
Fighter: Mike Russow                ELO: 1166.84
Fighter: Darrion Caldwell           ELO: 1166.39
Fighter: Amar Suloev                ELO: 1165.86
Fighter: Neiman Gracie              ELO: 1165.56
Fighter: Brian Bowles               ELO: 1165.27
Fighter: Michail Tsarev             ELO: 1165.1
Fighter: Diego Sanchez              ELO: 1164.75
Fighter: Vitor Ribeiro              ELO: 1164.5
Fighter: Paul Craig                 ELO: 1164.36
Fighter: Jordan Radev               ELO: 1164.26
Fighter: Ryan Jimmo                 ELO: 1163.47
Fighter: Jorge Rivera               ELO: 1163.46
Fighter: John Makdessi              ELO: 1162.98
Fighter: Bruno Santos               ELO: 1162.43
Fighter: Tom Niinimäki              ELO: 1162.33
Fighter: Damon Jackson              ELO: 1161.62
Fighter: Kamen Georgiev             ELO: 1161.11
Fighter: Ray Borg                   ELO: 1161.01
Fighter: Louis Taylor               ELO: 1160.27
Fighter: Naoki Inoue                ELO: 1160.13
Fighter: Frank Mir                  ELO: 1159.85
Fighter: Brent Primus               ELO: 1159.46
Fighter: Georgi Karakhanyan         ELO: 1159.43
Fighter: J.J. Ambrose               ELO: 1159.33
Fighter: Thiago Alves               ELO: 1159.1
Fighter: Brandon Halsey             ELO: 1159.04
Fighter: Mike Brown                 ELO: 1158.89
Fighter: Jadamba Narantungalag      ELO: 1158.65
Fighter: Norman Parke               ELO: 1158.61
Fighter: Kazunori Yokota            ELO: 1158.6
Fighter: Mikhail Ilyukhin           ELO: 1158.53
Fighter: Roberto Soldić             ELO: 1158.45
Fighter: Jesse Taylor               ELO: 1158.34
Fighter: Justin Wilcox              ELO: 1158.13
Fighter: Derek Anderson             ELO: 1158.07
Fighter: Magomed Bibulatov          ELO: 1158.05
Fighter: Sultan Aliev               ELO: 1157.99
Fighter: Brock Larson               ELO: 1157.81
Fighter: Tai Tuivasa                ELO: 1157.17
Fighter: Dan Christison             ELO: 1157.03
Fighter: Rasul Mirzaev              ELO: 1156.59
Fighter: Frank Trigg                ELO: 1156.51
Fighter: Rad Martinez               ELO: 1156.44
Fighter: Marlon Vera                ELO: 1156.2
Fighter: Bryan Caraway              ELO: 1156.08
Fighter: Dokonjonosuke Mishima      ELO: 1156.08
Fighter: Shane Burgos               ELO: 1156.04
Fighter: Hacran Dias                ELO: 1155.65
Fighter: Alexandre Ferreira         ELO: 1155.6
Fighter: Paul Sass                  ELO: 1155.45
Fighter: Sean Pierson               ELO: 1155.42
Fighter: Tim Sylvia                 ELO: 1155.41
Fighter: Jared Rosholt              ELO: 1155.28
Fighter: Andre Fili                 ELO: 1155.22
Fighter: Hiroyuki Takaya            ELO: 1155.13
Fighter: Joe Lauzon                 ELO: 1154.3
Fighter: Frank Shamrock             ELO: 1154.15
Fighter: Tim Boetsch                ELO: 1153.62
Fighter: Din Thomas                 ELO: 1152.98
Fighter: Matt Mitrione              ELO: 1152.81
Fighter: Robert McDaniel            ELO: 1152.8
Fighter: Tom Duquesnoy              ELO: 1152.1
Fighter: Renzo Gracie               ELO: 1151.89
Fighter: John Alessio               ELO: 1151.58
Fighter: Shane Carwin               ELO: 1150.83
Fighter: Sean O'Connell             ELO: 1150.75
Fighter: Evan Dunham                ELO: 1150.62
Fighter: Thiago Silva               ELO: 1150.5
